x,f(x)
-7.853981633974483,-0.9999999999999998
-7.819424114784995,-1.0005974083286524
-7.784866595595508,-1.0023932074062332
-7.750309076406021,-1.0053981718079066
-7.715751557216533,-1.0096304349224297
-7.681194038027046,-1.0151157576625014
-7.646636518837559,-1.0218879150204667
-7.612078999648071,-1.029989211384913
-7.577521480458584,-1.0394711394853213
-7.542963961269097,-1.0503952024840477
-7.508406442079609,-1.0628339243361127
-7.473848922890122,-1.0768720804052965
-7.439291403700635,-1.0926081888737176
-7.404733884511147,-1.1101563142587325
-7.37017636532166,-1.12964824808873
-7.3356188461321725,-1.151236149481373
-7.301061326942685,-1.175095751374394
-7.266503807753198,-1.2014302683630076
-7.2319462885637105,-1.2304751821339326
-7.197388769374223,-1.2625041340816687
-7.162831250184736,-1.297836227184719
-7.128273730995248,-1.3368451383434201
-7.093716211805761,-1.3799705794990127
-7.059158692616274,-1.4277328378923224
-7.024601173426786,-1.4807513983842808
-6.990043654237299,-1.5397690432223496
-6.955486135047812,-1.6056833986309647
-6.920928615858324,-1.6795887515016032
-6.886371096668837,-1.7628322536239058
-6.85181357747935,-1.8570906329031744
-6.817256058289862,-1.9644766988672115
-6.782698539100375,-2.0876900700452117
-6.7481410199108876,-2.230235129495086
-6.7135835007214,-2.3967439926358103
-6.679025981531913,-2.593468660598728
-6.6444684623424255,-2.829055638891403
-6.609910943152938,-3.115812153420533
-6.575353423963451,-3.4718709844294273
-6.540795904773963,-3.925097741577666
-6.506238385584476,-4.520630268930311
-6.471680866394989,-5.336711412292041
-6.437123347205501,-6.521847574427092
-6.402565828016014,-8.39650583778232
-6.368008308826527,-11.803404086669723
-6.333450789637039,-19.902747937025765
-6.298893270447552,-63.66459530593238
-6.264335751258065,53.054789420233035
-6.229778232068577,18.733015094113703
-6.19522071287909,11.3828842322329
-6.160663193689603,8.18224812579122
-6.126105674500115,6.392453221500355
-6.091548155310628,5.250271759507224
-6.0569906361211405,4.458896004842085
-6.022433116931653,3.878864787109153
-5.987875597742166,3.435999074953906
-5.9533180785526785,3.0872066268085376
-5.918760559363191,2.805742624545339
-5.884203040173704,2.574130143311724
-5.849645520984216,2.380466491400917
-5.815088001794729,2.216365675683661
-5.780530482605242,2.0757496076488913
-5.745972963415754,1.95410586911124
-5.711415444226267,1.8480146474926473
-5.67685792503678,1.754837452349313
-5.642300405847292,1.6725065492619045
-5.607742886657805,1.5993790408681035
-5.573185367468318,1.5341335699352496
-5.53862784827883,1.4756957975509823
-5.504070329089343,1.4231837230225812
-5.4695128098998556,1.3758669474610932
-5.434955290710368,1.333135905450204
-5.400397771520881,1.2944783343407436
-5.3658402523313935,1.259461073714517
-5.331282733141906,1.227715841678573
-5.296725213952419,1.1989280140814604
-5.2621676947629314,1.1728276966140312
-5.227610175573444,1.1491825659050467
-5.193052656383957,1.1277920887876516
-5.158495137194469,1.1084828252118482
-5.123937618004982,1.0911045907760821
-5.089380098815495,1.0755273070222646
-5.054822579626007,1.0616384066458693
-5.02026506043652,1.0493406902272748
-4.985707541247033,1.0385505535449375
-4.951150022057545,1.0291965218141197
-4.916592502868058,1.0212180406265738
-4.882034983678571,1.0145644839140402
-4.847477464489083,1.0091943476336742
-4.812919945299596,1.0050746046112093
-4.7783624261101085,1.0021802014804986
-4.743804906920621,1.0004936832371474
-4.709247387731134,1.000004934822493
-4.6746898685416465,1.0007110325675008
-4.640132349352159,1.00261620141764
-4.605574830162672,1.0057318767701282
-4.571017310973184,1.0100768726137799
-4.536459791783697,1.015677660595099
-4.50190227259421,1.0225687677732316
-4.467344753404722,1.0307933043150932
-4.432787234215235,1.0404036363884823
-4.398229715025748,1.0514622242382543
-4.36367219583626,1.064042651132597
-4.329114676646773,1.078230875868456
-4.294557157457286,1.0941267502514487
-4.259999638267798,1.111845853977857
-4.225442119078311,1.1315217133977278
-4.190884599888824,1.15330848875064
-4.156327080699336,1.1773842380392472
-4.121769561509849,1.2039548966810196
-4.0872120423203615,1.2332591531735224
-4.052654523130874,1.2655744560720492
-4.018097003941387,1.3012244621279028
-3.983539484751899,1.340588337477094
-3.948981965562411,1.3841124650769099
-3.9144244463729234,1.4323253097262134
-3.8798669271834356,1.4858564735816522
-3.845309407993948,1.5454613810750393
-3.81075188880446,1.6120536268044405
-3.7761943696149722,1.686747906059809
-3.7416368504254844,1.7709177929917934
-3.7070793312359966,1.8662747167004499
-3.672521812046509,1.974977792317765
-3.637964292857021,2.099789542917856
-3.6034067736675333,2.244301549262573
-3.5688492544780455,2.4132696178738295
-3.5342917352885577,2.613125929752499
-3.49973421609907,2.85278770835983
-3.465176696909582,3.1449840756780345
-3.4306191777200943,3.50853479632874
